latitude,longitude,brightness,acq_date,acq_time
36.35874,-96.22677,1,2025-03-26,1819
36.35438,-96.26454,1,2025-03-26,1819
36.39063,-96.21786,1,2025-03-26,1819
38.18756,-89.75214,2,2025-03-26,1819
36.36093,-96.21966,1,2025-03-26,1819
36.41622,-96.30106,2,2025-03-26,1819
36.41181,-96.31551,2,2025-03-26,1819
37.99267,-90.5826,1,2025-03-26,1819
36.49194,-96.07554,1,2025-03-26,1819
36.48354,-96.07947,1,2025-03-26,1819
41.45143,-93.52921,2,2025-03-26,1821
41.12702,-94.45399,4,2025-03-26,1821
41.13349,-94.45195,4,2025-03-26,1821
41.60296,-92.68741,2,2025-03-26,1821
43.11981,-85.83728,1,2025-03-26,1821
42.29007,-89.86141,1,2025-03-26,1821
41.60353,-92.68871,2,2025-03-26,1821
41.06115,-94.83772,1,2025-03-26,1821
41.45356,-93.52126,2,2025-03-26,1821
41.45249,-93.52523,2,2025-03-26,1821
41.45037,-93.53315,1,2025-03-26,1821
41.39553,-94.51739,2,2025-03-26,1821
41.49684,-93.50541,1,2025-03-26,1821
41.11338,-95.0285,2,2025-03-26,1821
41.11203,-95.03323,2,2025-03-26,1821
41.11875,-95.03103,2,2025-03-26,1821
41.11739,-95.0358,2,2025-03-26,1821
42.80401,-88.66943,1,2025-03-26,1821
42.80483,-88.67665,1,2025-03-26,1821
42.79192,-88.81317,1,2025-03-26,1821
41.39159,-94.51038,2,2025-03-26,1821
41.39033,-94.51488,2,2025-03-26,1821
41.12949,-94.44501,4,2025-03-26,1821
41.39804,-94.5084,2,2025-03-26,1821
41.32325,-94.003,1,2025-03-26,1821
41.12305,-94.44695,1,2025-03-26,1821
41.97379,-90.37051,2,2025-03-26,1821
41.35616,-93.48383,1,2025-03-26,1821
42.26005,-88.54829,1,2025-03-26,1821
41.39677,-94.51292,2,2025-03-26,1821
41.33825,-92.47256,2,2025-03-26,1821
40.83303,-94.35867,1,2025-03-26,1821
40.83827,-94.36114,1,2025-03-26,1821
40.72496,-94.76132,2,2025-03-26,1821
42.305,-88.41061,1,2025-03-26,1821
40.72364,-94.76598,2,2025-03-26,1821
41.74837,-90.92208,1,2025-03-26,1821
40.93657,-94.24145,1,2025-03-26,1821
41.22642,-93.20896,1,2025-03-26,1821
42.20486,-89.18887,1,2025-03-26,1821
41.18956,-94.20508,1,2025-03-26,1821
40.79044,-94.85235,1,2025-03-26,1821
41.1116,-93.70397,2,2025-03-26,1821
41.97509,-90.36488,2,2025-03-26,1821
41.97488,-90.36567,2,2025-03-26,1821
41.263,-93.32909,1,2025-03-26,1821
41.68412,-91.82137,2,2025-03-26,1821
41.68249,-91.82791,2,2025-03-26,1821
41.94421,-90.81291,1,2025-03-26,1821
41.44881,-92.85139,1,2025-03-26,1821
41.96853,-90.85732,1,2025-03-26,1821
42.34464,-89.26597,1,2025-03-26,1821
43.41594,-83.8874,1,2025-03-26,1821
41.75577,-91.83979,1,2025-03-26,1821
41.11272,-93.69981,2,2025-03-26,1821
41.40197,-94.51542,1,2025-03-26,1821
41.76381,-95.84972,1,2025-03-26,1821
41.78204,-93.38212,1,2025-03-26,1821
43.70177,-90.20427,1,2025-03-26,1821
43.47008,-91.32941,1,2025-03-26,1821
43.54726,-91.2822,1,2025-03-26,1821
42.88194,-93.96273,1,2025-03-26,1821
41.25979,-100.0573,1,2025-03-26,1821
43.8852,-90.958,1,2025-03-26,1821
43.88392,-90.96344,1,2025-03-26,1821
43.88934,-90.95991,1,2025-03-26,1821
43.88806,-90.96534,1,2025-03-26,1821
43.25976,-93.53425,1,2025-03-26,1821
41.22432,-100.52763,1,2025-03-26,1821
43.06335,-94.52089,1,2025-03-26,1821
43.66531,-89.3566,1,2025-03-26,1821
41.22092,-100.52595,1,2025-03-26,1821
44.08804,-90.96956,1,2025-03-26,1821
44.95466,-87.32331,1,2025-03-26,1821
44.95565,-87.31965,1,2025-03-26,1821
43.63585,-94.16341,1,2025-03-26,1821
43.20941,-95.7631,1,2025-03-26,1821
44.00603,-92.94334,1,2025-03-26,1821
44.73471,-90.98288,1,2025-03-26,1821
44.73521,-90.97986,1,2025-03-26,1821
42.77102,-99.10536,2,2025-03-26,1821
42.76656,-99.11915,2,2025-03-26,1821
45.86557,-92.67312,1,2025-03-26,1821
42.26246,-88.55179,1,2025-03-26,1821
44.08519,-90.9623,1,2025-03-26,1821
42.10216,-92.10632,1,2025-03-26,1821
44.14482,-86.14423,1,2025-03-26,1821
43.00375,-91.28634,1,2025-03-26,1821
41.77916,-93.38119,1,2025-03-26,1821
41.78407,-93.38338,1,2025-03-26,1821
42.97522,-88.61391,1,2025-03-26,1821
42.73028,-89.92453,2,2025-03-26,1821
42.20951,-92.18569,1,2025-03-26,1821
42.2094,-92.18695,1,2025-03-26,1821
42.63055,-90.64513,1,2025-03-26,1821
41.9535,-93.39819,2,2025-03-26,1821
41.86222,-93.783,1,2025-03-26,1821
42.51112,-91.3682,1,2025-03-26,1821
43.05281,-89.02792,1,2025-03-26,1821
43.07309,-89.16801,1,2025-03-26,1821
42.95751,-91.61536,1,2025-03-26,1821
42.57951,-91.50746,1,2025-03-26,1821
42.04651,-93.64719,1,2025-03-26,1821
42.98711,-89.89471,1,2025-03-26,1821
42.03794,-93.80251,1,2025-03-26,1821
41.78822,-94.7104,1,2025-03-26,1821
41.67636,-95.12772,1,2025-03-26,1821
41.79343,-94.71282,1,2025-03-26,1821
42.10617,-93.69331,1,2025-03-26,1821
43.1107,-89.93786,1,2025-03-26,1821
42.85114,-91.06898,1,2025-03-26,1821
43.52999,-88.69451,1,2025-03-26,1821
43.52859,-88.70113,1,2025-03-26,1821
42.99943,-91.28448,1,2025-03-26,1821
42.04433,-93.6462,1,2025-03-26,1821
42.25857,-88.55027,1,2025-03-26,1821
42.32998,-88.34228,1,2025-03-26,1821
40.72585,-94.76835,2,2025-03-26,1821
40.27596,-92.85491,1,2025-03-26,1821
40.27493,-92.85879,1,2025-03-26,1821
40.28402,-92.84546,1,2025-03-26,1821
40.28299,-92.84933,1,2025-03-26,1821
40.49432,-92.05648,2,2025-03-26,1821
40.28899,-92.84765,1,2025-03-26,1821
40.50092,-92.05135,2,2025-03-26,1821
40.32578,-92.85554,1,2025-03-26,1821
40.33285,-92.84969,1,2025-03-26,1821
40.33183,-92.85363,1,2025-03-26,1821
40.33078,-92.85765,1,2025-03-26,1821
39.26876,-96.6974,2,2025-03-26,1821
40.33307,-92.85217,1,2025-03-26,1821
40.33202,-92.85612,1,2025-03-26,1821
40.34776,-92.88044,1,2025-03-26,1821
40.34674,-92.88428,1,2025-03-26,1821
40.35274,-92.88263,1,2025-03-26,1821
40.35376,-92.87878,1,2025-03-26,1821
40.35171,-92.88647,1,2025-03-26,1821
39.27171,-96.64787,1,2025-03-26,1821
41.23742,-89.33894,2,2025-03-26,1821
41.23626,-89.34406,2,2025-03-26,1821
39.27052,-96.69685,2,2025-03-26,1821
39.26854,-96.70326,2,2025-03-26,1821
40.61477,-91.95995,1,2025-03-26,1821
40.27698,-92.85104,1,2025-03-26,1821
40.27901,-92.84336,1,2025-03-26,1821
40.1124,-93.44431,1,2025-03-26,1821
41.48465,-87.53246,1,2025-03-26,1821
42.25954,-88.54572,1,2025-03-26,1821
39.09447,-96.09454,2,2025-03-26,1821
39.0927,-96.10035,2,2025-03-26,1821
39.09092,-96.10624,2,2025-03-26,1821
39.09685,-96.10908,2,2025-03-26,1821
39.00983,-96.46259,1,2025-03-26,1821
39.00798,-96.46864,1,2025-03-26,1821
39.01588,-96.46542,1,2025-03-26,1821
39.014,-96.47158,1,2025-03-26,1821
40.15113,-92.66541,1,2025-03-26,1821
40.15008,-92.66942,1,2025-03-26,1821
39.23106,-95.99891,2,2025-03-26,1821
41.68638,-87.42528,1,2025-03-26,1821
39.22936,-96.00465,2,2025-03-26,1821
39.22909,-96.00043,1,2025-03-26,1821
39.23494,-96.00333,2,2025-03-26,1821
40.1963,-92.6256,1,2025-03-26,1821
40.17845,-92.90342,1,2025-03-26,1821
40.18449,-92.9017,2,2025-03-26,1821
40.18345,-92.90565,1,2025-03-26,1821
40.18242,-92.90955,1,2025-03-26,1821
40.1814,-92.91343,1,2025-03-26,1821
40.18037,-92.91734,1,2025-03-26,1821
42.29522,-83.16283,1,2025-03-26,1821
41.48672,-87.53857,1,2025-03-26,1821
42.29775,-83.16853,1,2025-03-26,1821
40.49771,-91.37747,1,2025-03-26,1821
40.28267,-93.41982,1,2025-03-26,1821
40.74957,-91.48656,1,2025-03-26,1821
40.23898,-93.647,2,2025-03-26,1821
41.59688,-89.79292,2,2025-03-26,1821
42.53663,-85.30618,2,2025-03-26,1821
41.92182,-88.39124,1,2025-03-26,1821
41.92085,-88.39576,1,2025-03-26,1821
41.92475,-88.39725,1,2025-03-26,1821
42.53026,-85.61638,1,2025-03-26,1821
42.14215,-87.81754,1,2025-03-26,1821
42.13501,-87.89062,1,2025-03-26,1821
40.62725,-94.22412,1,2025-03-26,1821
42.14289,-88.08866,1,2025-03-26,1821
42.14671,-88.09012,1,2025-03-26,1821
42.14543,-88.09105,1,2025-03-26,1821
40.2401,-93.64285,2,2025-03-26,1821
42.10292,-88.34634,1,2025-03-26,1821
41.02319,-93.08504,1,2025-03-26,1821
40.83192,-94.12823,1,2025-03-26,1821
42.1595,-88.85164,1,2025-03-26,1821
43.65891,-80.37187,1,2025-03-26,1821
41.7102,-90.85808,1,2025-03-26,1821
41.5949,-91.33623,1,2025-03-26,1821
41.59338,-91.34246,1,2025-03-26,1821
40.83306,-94.35949,1,2025-03-26,1821
40.72178,-94.76119,1,2025-03-26,1821
